[iqvw64e.sys](drivers/1d2cdef1-de44-4849-80e5-e2fa288df681/),[4429f32db1cc70567919d7d47b844a91cf1329a6cd116f582305f3b7b60cd60b](drivers/1d2cdef1-de44-4849-80e5-e2fa288df681/),2023-01-09
[semav6msr64.sys](drivers/ea86fce4-911a-40b4-8d35-61b5a9d556bd/),[9f1229cd8dd9092c27a01f5d56e3c0d59c2bb9f0139abf042e56f343637fda33](drivers/ea86fce4-911a-40b4-8d35-61b5a9d556bd/),2023-01-09
[ene.sys](drivers/3bec7340-bd8b-43ae-8569-d81a66f01dda/),[16768203a471a19ebb541c942f45716e9f432985abbfbe6b4b7d61a798cea354](drivers/3bec7340-bd8b-43ae-8569-d81a66f01dda/),2023-05-06
[rtkio64.sys](drivers/95d244a5-fa5b-4bcb-a2fd-39ed6c7ea7a4/),[7133a461aeb03b4d69d43f3d26cd1a9e3ee01694e97a0645a3d8aa1a44c39129](drivers/95d244a5-fa5b-4bcb-a2fd-39ed6c7ea7a4/),2023-01-09
[LgDCatcher.sys](drivers/a8e999ee-746f-4788-9102-c1d3d2914f56/),[58c071cfe72e9ee867bba85cbd0abe72eb223d27978d6f0650d0103553839b59](drivers/a8e999ee-746f-4788-9102-c1d3d2914f56/),2023-01-09
[AMDRyzenMasterDriver.sys](drivers/13973a71-412f-4a18-a2a6-476d3853f8de/),[7e81beae78e1ddbf6c150e15667e1f18783f9b0ab7fbe52c7ab63e754135948d](drivers/13973a71-412f-4a18-a2a6-476d3853f8de/),2023-05-06
[ASIO32.sys](drivers/920e3326-e5dc-446a-9993-6ec05266e0e0/),not available ,2023-01-09
[dbutil.sys](drivers/8d14d798-338f-471e-bacb-6d9371c0f529/),not available ,2023-01-09
[bw.sys](drivers/578d4909-c2ba-4363-b6e3-98fb62d5e55c/),[0ebaef662b14410c198395b13347e1d175334ec67919709ad37d65eba013adff](drivers/578d4909-c2ba-4363-b6e3-98fb62d5e55c/),2023-01-09
[ni.sys](drivers/4f93e19c-4600-4e2e-943f-a986875fd7d2/),[ae79e760c739d6214c1e314728a78a6cb6060cce206fde2440a69735d639a0a2](drivers/4f93e19c-4600-4e2e-943f-a986875fd7d2/),2023-01-09
[Phymemx64.sys](drivers/268e87ba-ad44-4f3c-986f-26712cac68da/),[19a212e6fc324f4cb9ee5eba60f5c1fc0191799a4432265cbeaa3307c76a7fc0](drivers/268e87ba-ad44-4f3c-986f-26712cac68da/),2023-01-09
